Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Control, Internal Result (CN/L)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status
A0049	16890	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			60192	SARS-CoV-2 N2			33456																													CDC N1/N2/RP Triplex	0.005		1/3/21 13:00	100				8				MS	Human RNase P	26736	Timothy Driscoll	2/20/21 16:13	2/20/21 16:13	Monongalia County	A0049	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/28/20 0:00	Composite	12/28/20 11:59	12/28/20 12:00	TD	1/14/21		StarCityWWTP-01	Available
A1023	10840	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			32580	SARS-CoV-2 N2			26040																													CDC N1/N2/RP Triplex	0.005		4/9/21 12:00	100				5				MVS	Human RNase P	26040	Josh Lambert	4/9/21 12:57	4/9/21 12:57	Monongalia County	A1023	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	4/6/21 11:55	Composite	4/6/21 11:55	4/6/21 12:00	Josh Lambert	4/9/21		StarCityWWTP-01	Available
A1085		OneStep RT-ddPCR	BRSV	0												SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005		07/09/2021	10				0.95	pH - 6.48						Josh Lambert		07/09/2021 12:19 PM		A1085	07/09/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	07/05/2021 11:55 PM	Composite	07/05/2021 11:55 PM	07/05/2021 12:00 AM	JL	07/09/2021	6.48	StarCityWWTP-01	Available
A1001	12141	OneStep RT-ddPCR				3/16/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			17430	SARS-CoV-2 N2			5820																													CDC N1/N2/RP Triplex	0.005		3/12/21 11:00	100				5				AHT	Human RNase P	46530	Mathilda Santee	3/12/21 10:59	3/12/21 10:59	Monongalia County	A1001	3/15/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AHT		Pass	Not Assessed	Not Assessed	Pass	EL	3/8/21 12:00	Composite	3/8/21 12:00	3/8/21 12:00	MVS	3/12/21		StarCityWWTP-01	Available
A1067		OneStep RT-ddPCR	BRSV	0												SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.35						Josh Lambert		07/09/2021 11:42 AM		A1067	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/09/2021 11:55 PM	Composite	06/09/2021 11:55 PM	06/09/2021 12:00 AM	JL	06/11/2021	6.35	StarCityWWTP-01	Available
A0436	12429	OneStep RT-ddPCR				3/15/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			5670	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005			100				5					Human RNase P	45450	Mathilda Santee	3/8/21 10:54	3/8/21 10:54	Monongalia County	A0436		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	EL	3/4/21 12:00	Composite	3/4/21 12:00	3/4/21 12:00				StarCityWWTP-01	Available
A0218	16501	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			41088	SARS-CoV-2 N2			61632																													CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Human RNase P	0	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0218	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/12/21 0:00	Composite	1/12/21 23:59	1/12/21 0:00	TD	1/15/21		StarCityWWTP-01	Available
A1059		OneStep RT-ddPCR	BRSV	349647.5												SARS-CoV-2 N1			3491.25	SARS-CoV-2 N2			6982.5																													N1/N2/BRSV Triplex	0.005			10				0.95	pH - 6.94						Josh Lambert		07/08/2021 11:35 AM		A1059	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/04/2021 11:55 PM	Composite	05/30/2021 11:55 PM	05/30/2021 12:00 AM	JL	06/04/2021	6.94	StarCityWWTP-01	Available
A1100		OneStep RT-ddPCR	BRSV	30376.25												SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005			10				0.95											A1100		0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	7/29/21 23:55	Composite	7/29/21 23:55	7/29/21 0:00	JL			StarCityWWTP-01	
A0440	9990	OneStep RT-ddPCR				3/15/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			25452	SARS-CoV-2 N2			8496																													CDC N1/N2/RP Triplex	0.005			100				6					Human RNase P	16956	Mathilda Santee	3/3/21 11:45	3/3/21 11:45	Monongalia County	A0440		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	EL	2/23/21 12:00	Composite	2/23/21 12:00	2/23/21 12:00				StarCityWWTP-01	Available
A1061		OneStep RT-ddPCR	BRSV	373872.5												SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.92						Josh Lambert		07/08/2021 11:39 AM		A1061	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/01/2021 11:55 PM	Composite	06/01/2021 11:55 PM	06/01/2021 12:00 AM	JL	06/04/2021	6.92	StarCityWWTP-01	Available
A0101	13937	OneStep RT-ddPCR				11/10/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			8517.6	SARS-CoV-2 N2			12776.4																													CDC N1/N2/RP Triplex	0.005		11/9/20 17:30	100				4.2				MS	Human RNase P	17010	Timothy Driscoll	11/9/20 16:54	11/9/20 16:54	Monongalia County	A0101	11/10/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	11/2/20 0:00	Composite	11/2/20 23:59	11/2/20 0:00	TD	11/9/20		StarCityWWTP-01	Available
A1018	12405	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			11370	SARS-CoV-2 N2			17070																													CDC N1/N2/RP Triplex	0.005		4/9/21 12:00	100				5				MVS	Human RNase P	17070	Josh Lambert	4/9/21 12:51	4/9/21 12:51	Monongalia County	A1018	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	3/30/21 11:55	Composite	3/30/21 11:55	3/30/21 12:00	Josh Lambert	4/9/21		StarCityWWTP-01	Available
A0205	17242	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			29484	SARS-CoV-2 N2			29484																													CDC N1/N2/RP Triplex	0.005		1/4/21 0:00	100				6				MS	Human RNase P	4896	Timothy Driscoll	2/20/21 16:13	2/20/21 16:13	Monongalia County	A0205	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/30/20 0:00	Composite	12/30/20 23:59	12/30/20 0:00	TD	1/7/21		StarCityWWTP-01	Available
A1056		OneStep RT-ddPCR														SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													CDC nCov-2 Triplex	0.005		07/07/2021	10				0.95	pH - 6.89				Human RNase P	256642.5	Josh Lambert		07/08/2021 11:27 AM		A1056	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	05/25/2021 11:55 PM	Composite	05/25/2021 11:55 PM	05/25/2021 12:00 AM	JL	05/28/2021	6.89	StarCityWWTP-01	Available
A1049		OneStep RT-ddPCR	BRSV	185321.25												SARS-CoV-2 N1			0	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005		06/04/2021	10				0.95	pH -  6.58						Mathilda Santee		06/04/2021 09:12 AM		A1049		0.4			Thermo MagMax Microbiome Ultra	0.05					Monongalia County					EL	05/16/2021 11:55 PM	Composite	05/16/2021 11:59 PM	05/16/2021 12:00 AM	MVS	06/04/2021	6.58	StarCityWWTP-01	Available
A1060		OneStep RT-ddPCR	BRSV	325968.75												SARS-CoV-2 N1			8550	SARS-CoV-2 N2			4275																													N1/N2/BRSV Triplex	0.005			10				0.95	pH - 6.93						Josh Lambert		07/08/2021 11:37 AM		A1060	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	05/31/2021 11:55 PM	Composite	05/31/2021 11:55 PM	05/31/2021 12:00 AM	JL	06/04/2021	6.93	StarCityWWTP-01	Available
A1030	11104	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			7632	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005		4/16/21 11:00	100				6				JL	Human RNase P	68688	Aiyana-Mei Tom	4/16/21 11:21	4/16/21 11:21	Monongalia County	A1030	4/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				JL		Pass	Not Assessed	Not Assessed	Pass	EL	4/15/21 12:00	Composite	4/16/21 12:00	4/15/21 12:00	MVS	4/16/21		StarCityWWTP-01	Available
A01-0004	18261	OneStep RT-ddPCR	None			8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A03	JL	SARS-CoV-2 N1	0	99.94874319	67173.01846	SARS-CoV-2 N2	0	99.95073014	68545.77637	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A03	JL			Josh Lambert		8/16/21 10:18	Monongalia County	Primary	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A03	JL	NaN	Pass	Pass	Pass	Pass	GG	8/12/21 23:55	Composite	8/12/21 23:55	8/12/21 0:00	Josh Lambert	8/13/21	6.95	StarCityWWTP-01	
A0023	12579	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			49394.4	SARS-CoV-2 N2			29647.2																													CDC N1/N2/RP Triplex	0.005		12/4/20 17:00	100				4.4				MS	Human RNase P	24684	Timothy Driscoll	12/7/20 15:15	12/7/20 15:15	Monongalia County	A0023	12/7/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/22/20 0:00	Composite	11/22/20 23:59	11/22/20 0:00	TD	11/30/20		StarCityWWTP-01	Available
A0221	13910	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			88398	SARS-CoV-2 N2			82296																													CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				3				MS	Human RNase P	6084	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0221	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/17/21 0:00	Composite	1/17/21 23:59	1/17/21 0:00	TD	1/22/21		StarCityWWTP-01	Available
A1024	12696	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			46728	SARS-CoV-2 N2			33372																													CDC N1/N2/RP Triplex	0.005		4/9/21 12:00	100				6				MVS	Human RNase P	26676	Josh Lambert	4/9/21 12:58	4/9/21 12:58	Monongalia County	A1024	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	4/7/21 11:55	Composite	4/7/21 11:55	4/7/21 12:00	Josh Lambert	4/9/21		StarCityWWTP-01	Available
A02-0029	17184	OneStep RT-ddPCR	None			8/23/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	I5	AP000002	A05	JL	SARS-CoV-2 N1	0	99.93699063	0	SARS-CoV-2 N2	0	99.94261999	969.4788339																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A05	JL						WVU Morgantown	Tertiary	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A05	JL		Pass	Pass	Pass			8/23/21 9:46	Grab	8/23/21 9:46	8/23/21 9:46				HonorsSummit-01 (MUB)	
A0020	12727	OneStep RT-ddPCR				11/20/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			3996	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005		11/19/20 17:00	100				3.6				MS	Human RNase P	35942.4	Timothy Driscoll	11/19/20 19:22	11/19/20 19:22	Monongalia County	A0020	11/20/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/17/20 0:00	Composite	11/17/20 23:59	11/17/20 0:00	TD	11/19/20		StarCityWWTP-01	Available
A1003	10420	OneStep RT-ddPCR				3/16/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			20340	SARS-CoV-2 N2			13560																													CDC N1/N2/RP Triplex	0.005		3/12/21 11:00	100				5				AHT	Human RNase P	54210	Mathilda Santee	3/12/21 11:02	3/12/21 11:02	Monongalia County	A1003	3/15/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AHT		Pass	Not Assessed	Not Assessed	Pass	EL	3/10/21 12:00	Composite	3/10/21 12:00	3/10/21 12:00	MVS	3/12/21		StarCityWWTP-01	Available
A1073		OneStep RT-ddPCR	BRSV	332595												SARS-CoV-2 N1			4726.25	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.39						Josh Lambert		07/09/2021 11:54 AM		A1073	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/17/2021 11:55 PM	Composite	06/17/2021 11:55 PM	06/17/2021 12:00 AM	JL	06/18/2021	6.39	StarCityWWTP-01	Available
A0442	11921	OneStep RT-ddPCR				3/15/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			29610	SARS-CoV-2 N2			0																													CDC N1/N2/RP Triplex	0.005			100				5					Human RNase P	53310	Mathilda Santee	3/3/21 11:47	3/3/21 11:47	Monongalia County	A0442		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	EL	2/25/21 12:00	Composite	2/25/21 12:00	2/25/21 12:00				StarCityWWTP-01	Available
A07-0012	18494	OneStep RT-ddPCR	BRSV			8/13/21	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	B01	JL	SARS-CoV-2 N1	0	99.9626002	4055.69844	SARS-CoV-2 N2	0	99.96326296	6759.86311																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B03	JL			Eric Lundstrum		8/11/21 9:19	WVU Morgantown	Tertiary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B03	JL	NaN	Pass	Pass	Pass	Pass	EL	8/11/21 9:19	Composite	8/11/21 9:00	8/10/21 9:00	JL	8/11/21	7.13	OaklandE-02	
A1044	14661	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			4800	SARS-CoV-2 N2			4800																													CDC N1/N2/RP Triplex	0.005	Reconc vol estimated	5/7/21 14:30	100				5					Human RNase P	19260	Josh Lambert	5/7/21 15:24	5/7/21 15:24	Monongalia County	A1044		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	GG	5/5/21 23:55	Composite	5/5/21 23:55	5/5/21 0:00	Josh Lambert	5/7/21		StarCityWWTP-01	Available
A0050	14694	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			33642	SARS-CoV-2 N2			33642																													CDC N1/N2/RP Triplex	0.005		1/3/21 13:00	100				7				MS	Human RNase P	0	Timothy Driscoll	2/20/21 16:13	2/20/21 16:13	Monongalia County	A0050	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/29/20 0:00	Composite	12/29/20 11:59	12/29/20 12:00	TD	1/14/21		StarCityWWTP-01	Available
A0240	14185	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			41796	SARS-CoV-2 N2			29880																													CDC N1/N2/RP Triplex	0.005		2/22/21 0:00	100				6				AT	Human RNase P	11952	Timothy Driscoll	2/24/21 10:42	2/24/21 10:42	Monongalia County	A0240	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	2/11/21 8:00	Composite	2/11/21 11:55	2/11/21 12:00	TD	2/18/21		StarCityWWTP-01	Available
A02-0004	14984	OneStep RT-ddPCR	BRSV			8/13/21	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	B08	JL	SARS-CoV-2 N1	0	99.9626002	0	SARS-CoV-2 N2	0	99.96326296	0																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	C04	JL			Eric Lundstrum		8/12/21 10:05	WVU Morgantown	Tertiary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	C04	JL	NaN	Pass	Pass	Pass	Pass	EL	8/12/21 10:05	Composite	8/12/21 9:00	8/11/21 9:00	JL	8/12/21	NaN	NorthHighSt-02 (MUB)	
A1013	12334	OneStep RT-ddPCR				3/30/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			9168	SARS-CoV-2 N2			9168																													CDC N1/N2/RP Triplex	0.005		3/26/21 11:00	100				4				MVS	Human RNase P	64128	Mathilda Santee	3/26/21 10:53	3/26/21 10:53	Monongalia County	A1013	3/29/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	3/26/21 10:53	Composite	3/23/21 12:00	3/23/21 12:00	MVS	3/26/21		StarCityWWTP-01	Available
A02-0015	21184	OneStep RT-ddPCR	None			8/16/21	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	B04	JL	SARS-CoV-2 N1	0	99.94874319	105253.3469	SARS-CoV-2 N2	0	99.95073014	76826.7622	None																												Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	B06	JL			Eric Lundstrum		8/16/21 10:33	WVU Morgantown	Tertiary	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A12	JL		Pass	Pass	Pass	Pass	Alexander Brun	8/16/21 10:15	Composite	8/16/21 9:00	8/14/21 9:00	Josh Lambert	8/16/21	7.18	CollegePark-02	
A0237	11622	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			497808	SARS-CoV-2 N2			390048																													CDC N1/N2/RP Triplex	0.005		2/22/21 0:00	100				4				AT	Human RNase P	24288	Timothy Driscoll	2/24/21 10:40	2/24/21 10:40	Monongalia County	A0237	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	2/8/21 8:00	Composite	2/8/21 11:55	2/8/21 12:00	TD	2/11/21		StarCityWWTP-01	Available
A02-0032	3664	OneStep RT-ddPCR	None			8/23/21	CHECK	DQ	58477037	QX 200	CDC nCov-2 Triplex	I8	AP000002	A08	JL	SARS-CoV-2 N1	0	99.93699063	0	SARS-CoV-2 N2	0	99.94261999	0																													Multiplex	0.005		8/23/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	B02	JL						WVU Morgantown	Tertiary	8/23/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000001	A08	JL		Fail: Droplet Counts Below Threshold	Pass	Pass			8/23/21 10:11	Grab	8/23/21 10:11	8/23/21 10:11				CollegePark-02	
A1095		OneStep RT-ddPCR	BRSV	202373.75												SARS-CoV-2 N1			4702.5	SARS-CoV-2 N2			0																													N1/N2/BRSV Triplex	0.005			10				0.95							Josh Lambert		07/09/2021 12:23 PM		A1095		0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	7/19/21 23:55	Composite	7/19/21 23:55	7/19/21 0:00	JL			StarCityWWTP-01	Available
A02-0007																																																																			Eric Lundstrum		8/12/21 9:14	WVU Morgantown	Secondary															Pass	EL	8/12/21 9:14	Composite	8/12/21 9:00	8/11/21 9:00	JL	8/12/21		Evansdale-01	
A0043	13397	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			60100.8	SARS-CoV-2 N2			44072.4																													CDC N1/N2/RP Triplex	0.005		12/14/20 17:00	100				3.8				AT	Human RNase P	20018.4	Timothy Driscoll	12/21/20 16:22	12/21/20 16:22	Monongalia County	A0043	12/21/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	12/17/20 0:00	Composite	12/17/20 11:59	12/17/20 12:00	TD	12/18/20		StarCityWWTP-01	Available
A0103	11366	OneStep RT-ddPCR				11/10/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			12420	SARS-CoV-2 N2			12420																													CDC N1/N2/RP Triplex	0.005		11/9/20 17:30	100				5				MS	Human RNase P	18630	Timothy Driscoll	11/9/20 16:55	11/9/20 16:55	Monongalia County	A0103	11/10/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	11/4/20 0:00	Composite	11/4/20 23:59	11/4/20 0:00	TD	11/9/20		StarCityWWTP-01	Available
A0236	11600	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			6090	SARS-CoV-2 N2			48690																													CDC N1/N2/RP Triplex	0.005		2/22/21 0:00	100				5				AT	Human RNase P	12180	Timothy Driscoll	2/24/21 10:39	2/24/21 10:39	Monongalia County	A0236	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	2/7/21 8:00	Composite	2/7/21 11:55	2/7/21 12:00	TD	2/11/21		StarCityWWTP-01	Available
A0045	18529	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			21336	SARS-CoV-2 N2			10668																													CDC N1/N2/RP Triplex	0.005		1/3/21 13:00	100				7				MS	Human RNase P	5334	Timothy Driscoll	2/20/21 16:13	2/20/21 16:13	Monongalia County	A0045	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/21/20 0:00	Composite	12/21/20 11:59	12/21/20 12:00	TD	1/7/21		StarCityWWTP-01	Available
A1022	10709	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			105540	SARS-CoV-2 N2			112140																													CDC N1/N2/RP Triplex	0.005		4/9/21 12:00	100				5				MVS	Human RNase P	26370	Josh Lambert	4/9/21 12:56	4/9/21 12:56	Monongalia County	A1022	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	4/5/21 11:55	Composite	4/5/21 11:55	4/5/21 12:00	Josh Lambert	4/9/21		StarCityWWTP-01	Available
A0031	9322	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1			82456.8	SARS-CoV-2 N2			82456.8																													CDC N1/N2/RP Triplex	0.005		12/4/20 17:00	100				3.4				MS	Human RNase P	51510	Timothy Driscoll	12/7/20 15:15	12/7/20 15:15	Monongalia County	A0031	12/7/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/1/20 0:00	Composite	12/1/20 23:59	12/1/20 0:00	TD	12/4/20		StarCityWWTP-01	Available
A01-0001	19475	OneStep RT-ddPCR	BRSV			8/13/21	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	A03	JL	SARS-CoV-2 N1	0	99.9626002	8987.49459	SARS-CoV-2 N2	0	99.96326296	10271.68584																													Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A03	JL	None		Josh Lambert		8/13/21 12:13	Monongalia County	Primary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A03	JL	NaN	Pass	Pass	Pass	Pass	GG	8/9/21 23:55	Composite	8/9/21 23:55	8/9/21 0:00	JL	8/13/21	NaN	StarCityWWTP-01	
A01-0013																																																																						Monongalia County	Primary																	8/23/21 23:59	Composite	8/23/21 23:59	8/23/21 0:00				StarCityWWTP-01	
