Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Internal	Assay Control, Internal Concentration (CN/Rxn)	Assay Control, Internal Result (CN/L)	Assay Control, Process	Assay Control, Process Concentration (CN/Rxn)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Category	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Flow (MGD)	Sample ID	Sample QC Check	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status: NWSS	Status: WaTCH
A1002	10921	OneStep RT-ddPCR	Human RNase P		38790					3/16/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				25860	SARS-CoV-2 N2				19380																																				CDC N1/N2/RP Triplex	0.005	Sample		3/12/21	100			PEG Precipitation	5				AHT	WWTP	Sample	3/15/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AHT	StarCityWWTP-01	EL	3/9/21 12:00	Composite	3/9/21 12:00	3/9/21 12:00	8.423		Pass	MVS	3/12/21		Monongalia	Processing	Complete
G01-0065	18070	OneStep RT-ddPCR	Human RNase P	1.30216181278229	1383.54692608118	None				2021-11-04	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	I7	AP0016	D07	JL	SARS-CoV-2 N1	31.2717866897584	0	1040.98007202148	33226.2733578683	SARS-CoV-2 N2	28.664219379425	0	1205.93536376953	30455.7330906391																																					0.005	Sample		2021-11-03	10	NT04474	Halcyon	Nanotrap	0.425		CP0032	B01	JL	WWTP	Sample	2021-11-03	0.4	21108255	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	I7	EP0032	A07	JL	KeyserWWTP-01	GP	11/1/21 12:00	Composite	11/1/21 9:00	10/31/21 9:00			Pass	JL	11/2/21	6.86	Mineral	Processing	Processing
A1013	12334	OneStep RT-ddPCR	Human RNase P		64128					3/30/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				9168	SARS-CoV-2 N2				9168																																				CDC N1/N2/RP Triplex	0.005	Sample		3/26/21	100			PEG Precipitation	4				MVS	WWTP	Sample	3/29/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS	StarCityWWTP-01	EL	3/26/21 10:53	Composite	3/23/21 12:00	3/23/21 12:00	9.556		Pass	MVS	3/26/21		Monongalia	Processing	Complete
A1083	13044	OneStep RT-ddPCR		77.69		BRSV		184513.75		7/9/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	1.8			4275	SARS-CoV-2 N2	3.61			8573.75																																				N1/N2/BRSV Triplex	0.005	Sample		7/9/21	10			Ceres Nanotrap	0.95	pH - 6.49				WWTP	Sample	7/9/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	7/1/21 23:55	Composite	7/1/21 23:55	7/1/21 0:00	8.588 		Pass	JL	7/9/21	6.49	Monongalia	Processing	Complete
F01-0023																																																																																											WestonWWTP-01	BP	11/9/21 10:30	Composite	11/9/21 10:00	11/8/21 10:00			Pass	AJ	11/11/21	7	Lewis	Processing	Processing
A02-0066	14107	OneStep RT-ddPCR	Human RNase P	48.27194691	51288.94359					9/2/21	Manual	DQ		QX One	BRSV Triplex	H3	AP000000	C03	JL	SARS-CoV-2 N1	1.506840289	0	3138.026123	1601.017807	SARS-CoV-2 N2	10.55012584	0	3336.080627	11209.5087																																				CDC N1/N2/RP Triplex	0.005	Sample		9/2/21	10	 NT04155	Kookaburra	Ceres Nanotrap	0.425		CP0007	D01	JL	WVU Morgantown	Sample	9/2/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	H3	EP0007	B07	JL	Evansdale-01	EL	9/1/21 9:08	Grab	9/1/21 9:08	9/1/21 9:08			Pass	JL	9/1/21	7.36	Monongalia	Processing	Complete
H01-0034																																																																			Sample												WWTP	Sample											MoundsvilleWWTP-01	Q	11/8/21 8:15	Composite	11/8/21 8:00	11/7/21 8:00			Pass	AJ	11/11/21	6.87	Marshall	Processing	Processing
A1053	12837	OneStep RT-ddPCR		75.27		BRSV		178766.25		7/7/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	1.83			4346.25	SARS-CoV-2 N2	1.83			4346.25																																				N1/N2/BRSV Triplex	0.005	Sample		7/7/21	10			Ceres Nanotrap	0.95	pH: 6.83				WWTP	Sample	7/7/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	5/20/21 23:55	Composite	5/20/21 23:55	5/20/21 0:00	6.831 		Pass	JL	5/21/21	6.83	Monongalia	Processing	Complete
A01-0075	10153	OneStep RT-ddPCR	Human RNase P	6.95347845554352	7388.07085901499	None				2021-11-04	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	F6	AP0016	A06	JL	SARS-CoV-2 N1	30.1465916633606	0	1040.98007202148	32030.7536423206	SARS-CoV-2 N2	25.5061388015748	0	1205.93536376953	27100.2724766732																																					0.005	Sample		2021-11-02	10	NT04474	Kookaburra	Nanotrap	0.425		CP0031	B02	JL	WWTP	Sample	2021-11-02	0.4	21108255	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	F6	EP0031	A06	JL	StarCityWWTP-01	GG	10/28/21 23:55	Composite	10/28/21 23:55	10/28/21 0:00			Pass	JL	10/29/21	6.71	Monongalia	Processing	Processing
A02-0198	15277	OneStep RT-ddPCR	Human RNase P	7.70218670368194	8183.57337266206	None				2021-11-04	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	G3	AP0016	B03	JL	SARS-CoV-2 N1	1.54023587703705	0	1040.98007202148	1636.50061935186	SARS-CoV-2 N2	12.3247110843658	0	1205.93536376953	13095.0055271387																																					0.005	Sample		2021-11-02	10	NT04474	Kookaburra	Nanotrap	0.425		CP0031	C03	JL	WVU Morgantown	Sample	2021-11-02	0.4	21108255	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	G3	EP0031	B03	JL	CollegePark-02	CA	10/29/21 12:32	Composite	10/29/21 10:26	10/27/21 10:26			Pass	JL	10/29/21	6.74	Monongalia	Processing	Processing
G02-0003		OneStep RT-ddPCR	Human RNase P			None				2021-11-01	CHECK	ABS	58477038	QX 200	CDC nCov-2 Triplex	D2	AP0015	D02	JL	SARS-CoV-2 N1					SARS-CoV-2 N2																																									0.005	Sample		2021-10-27	10	NT04474	Kookaburra	Nanotrap	0.425		CP0029	A02	JL	WVU Keyser	Sample	2021-10-27	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	D2	EP0029	A02	JL	PotomacState-01	SC	10/14/21 9:30	Grab	10/14/21 9:30	10/14/21 9:30			Pass	JL	10/27/21	6.96	Mineral	Processing	Processing
A0034	15971	OneStep RT-ddPCR	Human RNase P		84912					12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				106176	SARS-CoV-2 N2				99096																																				CDC N1/N2/RP Triplex	0.005	Sample		12/7/20	100			PEG Precipitation	4				MS	WWTP	Sample	12/8/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS	StarCityWWTP-01	GG	12/6/20 0:00	Composite	12/6/20 23:59	12/6/20 0:00			Pass	TD	12/7/20		Monongalia	Processing	Complete
A1093	12463	OneStep RT-ddPCR		79.43		BRSV		188646.25		7/30/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	1.89			4488.75																																				N1/N2/BRSV Triplex	0.005	Sample		7/30/21	10			Ceres Nanotrap	0.95					WWTP	Sample	7/30/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	7/15/21 23:55	Composite	7/15/21 23:55	7/15/21 0:00	7.917 		Pass	JL	7/30/21		Monongalia	Processing	Complete
A1032	10235	OneStep RT-ddPCR	Human RNase P		0					4/26/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				19320	SARS-CoV-2 N2				9660																																				CDC N1/N2/RP Triplex	0.005	Sample		4/23/21	100			PEG Precipitation	7				MVS	WWTP	Sample	4/26/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS	StarCityWWTP-01	EL	4/23/21 10:56	Composite	4/19/21 11:59	4/19/21 12:00	8.689		Pass	MVS	4/23/21		Monongalia	Processing	Complete
H01-0028																																																																			Sample												WWTP	Sample											MoundsvilleWWTP-01	DRC	11/2/21 8:15	Composite	11/2/21 8:00	11/1/21 8:00			Pass	AJ	11/11/21	6.63	Marshall	Processing	Processing
B01-0014	19518	OneStep RT-ddPCR	Human RNase P	3.197839558	3397.704531					10/11/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	H3	AP0012	C02	JL	SARS-CoV-2 N1	67.22354412	0	1593.187866	71425.01563	SARS-CoV-2 N2	36.79495335	0	2077.493896	39094.63793																																				CDC N1/N2/RP Triplex	0.005	Sample		10/7/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0021	A03	JL	WWTP	Sample	10/7/21	0.4	2108052	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	H3	EP0021	A03	JL	CharlestonWWTP-01	KM	10/4/21 8:00	Composite	10/4/21 7:00	10/3/21 7:00			Pass	JL	10/6/21	6.59	Kanawha	Processing	Complete
H01-0040																																																																																											MoundsvilleWWTP-01	-	11/15/2021 08:15 AM	Composite	11/15/2021 08:00 AM	11/14/2021 08:00 AM			Pass	AJ	11/19/2021	6.98	Marshall		
A1081	12866	OneStep RT-ddPCR		58.59		BRSV		139151.25		7/9/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	0			0																																				N1/N2/BRSV Triplex	0.005	Sample		7/9/21	10			Ceres Nanotrap	0.95	pH - 6.47				WWTP	Sample	7/9/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	6/29/21 23:55	Composite	6/29/21 23:55	6/29/21 0:00	7.266 		Pass	JL	7/9/21	6.47	Monongalia	Processing	Complete
A03-0032	15226	OneStep RT-ddPCR	Human RNase P	26.17877007	27814.94319					10/11/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	I1	AP0012	A03	JL	SARS-CoV-2 N1	0	0	1593.187866	0	SARS-CoV-2 N2	157.5391388	0	2077.493896	167385.335																																				CDC N1/N2/RP Triplex	0.005	Sample		10/7/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0021	C01	JL	K-12	Sample	10/7/21	0.4	2108052	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	I1	EP0021	B01	JL	BrookhavenES-01	BL	9/30/21 10:50	Grab	9/30/21 10:50	9/30/21 10:50			Pass	JL	10/6/21	8.45	Monongalia	Processing	Complete
A02-0084	19601	OneStep RT-ddPCR	Human RNase P	49.26872253	52348.01769					9/9/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	K6	AP0007	A06	JL	SARS-CoV-2 N1	191.6449738	0	1303.838043	203622.7846	SARS-CoV-2 N2	204.961338	0	1366.207123	217771.4217																																				CDC N1/N2/RP Triplex	0.005	Sample		9/8/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP0009	A06	JL	WVU Morgantown	Sample	9/8/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	K6	EP0009	A06	JL	NorthHighSt-02 (MUB)	EL	9/6/21 8:48	Composite	9/6/21 8:48	9/4/21 9:00			Pass	JL	9/7/21	6.89	Monongalia	Processing	Complete
A1023	10840	OneStep RT-ddPCR	Human RNase P		26040					4/12/21	Manual	DQ		QX 200	CDC nCov-2 Triplex					SARS-CoV-2 N1				32580	SARS-CoV-2 N2				26040																																				CDC N1/N2/RP Triplex	0.005	Sample		4/9/21	100			PEG Precipitation	5				MVS	WWTP	Sample	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS	StarCityWWTP-01	GG	4/6/21 11:55	Composite	4/6/21 11:55	4/6/21 12:00	9.043		Pass	Josh Lambert	4/9/21		Monongalia	Processing	Complete
A1065	14482	OneStep RT-ddPCR		115.64		BRSV		274645		6/7/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	0			0																																				N1/N2/BRSV Triplex	0.005	Sample		7/7/21	10			Ceres Nanotrap	0.95	pH - 6.33				WWTP	Sample	6/7/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	6/7/21 23:55	Composite	6/7/21 23:55	6/7/21 0:00	6.647 		Pass	JL	6/11/21	6.33	Monongalia	Processing	Complete
E01-0003																																																																			Sample												WWTP	Sample											PrincetonWWTP-01	TT	11/2/21 8:00	Composite	11/2/21 8:00	11/1/21 8:00			Pass	JL	11/5/21	6.63	Mercer	Processing	Processing
H01-0059																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
A02-0127	11002	OneStep RT-ddPCR	Human RNase P	4.277686179	4545.041565					9/29/21	Manual	DQ	58477037	QX 200	CDC nCov-2 Triplex	L3	AP0010	B03	JL	SARS-CoV-2 N1	10.69567323	0	1097.667847	11364.1528	SARS-CoV-2 N2	2.138745785	0	1200.682373	2272.417396																																				CDC N1/N2/RP Triplex	0.005	Sample		9/27/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425		CP0017	B05	JL	WVU Morgantown	Sample	9/27/21	0.4	2105049	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	L3	EP0017	A11	JL	CollegePark-02	EL	9/24/21 10:57	Composite	9/24/21 10:57	9/22/21 10:57			Pass	JL	9/27/21	7.21	Monongalia	Processing	Complete
B01-0024		OneStep RT-ddPCR	Human RNase P			None				2021-11-01	CHECK	ABS	58477038	QX 200	CDC nCov-2 Triplex	B6	AP0015	B06	JL	SARS-CoV-2 N1					SARS-CoV-2 N2																																									0.005	Sample		2021-10-25	10	NT04474	Halcyon	Nanotrap	0.425		CP0028	C02	JL	WWTP	Sample	2021-10-25	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	B6	EP0028	B06	JL	CharlestonWWTP-01	KM	10/21/21 7:25	Composite	10/21/21 7:00	10/20/21 7:00			Pass	JL	10/25/21	7.14	Kanawha	Processing	Processing
A01-0013	12800	OneStep RT-ddPCR	Human RNase P	10.60049534	11263.0263					9/2/21	Manual	DQ		QX One	BRSV Triplex	F2	AP000000	B01	JL	SARS-CoV-2 N1	22.9740262	0	3138.026123	24409.90284	SARS-CoV-2 N2	21.20596409	0	3336.080627	22531.33684																																				CDC N1/N2/RP Triplex	0.005	Sample		9/2/21	10	 NT04155	Kookaburra	Ceres Nanotrap	0.425		CP0007	A02	JL	WWTP	Sample	9/2/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	F2	EP0007	A02	JL	StarCityWWTP-01	JL	8/23/21 23:59	Composite	8/23/21 23:59	8/23/21 0:00	9.509 		Pass	JL	8/24/21	6.99	Monongalia	Processing	Complete
J01-0013																																																																															WWTP												AlpineLakeWWTP-01												Preston		
G01-0052	12136	OneStep RT-ddPCR	Human RNase P	5.817152261734	6180.72427809238	None				2021-10-20	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	E6	AP0014	F01	JL	SARS-CoV-2 N1	77.6805305480958	0	2152.00729370118	82535.5637073518	SARS-CoV-2 N2	52.4062156677246	0	2493.55224609376	55681.6041469574																																					0.005	Sample		2021-10-15	10	NT04474	Halcyon	Nanotrap	0.425		CP0025	A06	JL	WWTP	Sample	2021-10-15	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	E6	EP0025	A06	JL	KeyserWWTP-01	TD	10/13/21 8:00	Composite	10/13/21 8:00	10/12/21 9:00			Pass	JL	10/15/21	7.2	Mineral	Processing	Processing
G01-0028																																																																			Sample												WWTP	Sample											KeyserWWTP-01	-	11/14/21 7:45	Composite	11/14/21 7:00	11/13/21 8:00			Pass	JL	11/16/21	7.41	Mineral	Processing	Processing
H01-0071																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
H01-0051																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
A02-0044																																																																			Sample													Sample																									Unknown
A1058	14521	OneStep RT-ddPCR		125.1		BRSV		297112.5		7/7/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	0			0																																				N1/N2/BRSV Triplex	0.005	Sample			10			Ceres Nanotrap	0.95	pH - 7.03				WWTP	Sample	7/7/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	5/27/21 23:55	Composite	5/27/21 11:55	5/27/21 0:00	7.148 		Pass	JL	5/28/21	7.03	Monongalia	Processing	Complete
B01-0073	17284	OneStep RT-ddPCR	Human RNase P	2.72283881902694	2893.01624521612	None				2021-11-04	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	H5	AP0016	C05	JL	SARS-CoV-2 N1	1.36138007044792	0	1040.98007202148	1446.46632485092	SARS-CoV-2 N2	0	0	1205.93536376953	0																																					0.005	Sample		2021-11-02	10	NT04474	Kookaburra	Nanotrap	0.425		CP0031	A06	JL	WWTP	Sample	2021-11-02	0.4	21108255	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H5	EP0031	C05	JL	CharlestonWWTP-01	KM	10/27/21 8:00	Composite	10/27/21 7:00	10/26/21 7:00			Pass	JL	10/29/21	7.1	Kanawha	Processing	Processing
A02-0063	14806	OneStep RT-ddPCR	Human RNase P	1192.122955	1266630.64					8/30/21	Manual	DQ	58477036	QX One	CDC nCov-2 Triplex	E5	AP0005	E04	JL	SARS-CoV-2 N1	78.61941338	0	2615.09491	83533.12671	SARS-CoV-2 N2	123.8829136	0	2786.116028	131625.5957																																				CDC N1/N2/RP Triplex	0.005	Sample		8/27/21	10	XXXXXX	Halcyon	Ceres Nanotrap	0.425		CP000000	A05	JL	WVU Morgantown	Sample	8/30/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	E5	EP0006	A05	JL	NorthHighSt-02 (MUB)	EL	8/30/21 10:19	Grab	8/30/21 10:19	8/30/21 10:19			Pass	JL	8/30/21	8.58	Monongalia	Processing	Complete
G02-0004		OneStep RT-ddPCR	Human RNase P			None				2021-11-01	CHECK	ABS	58477038	QX 200	CDC nCov-2 Triplex	D3	AP0015	D03	JL	SARS-CoV-2 N1					SARS-CoV-2 N2																																									0.005	Sample		2021-10-27	10	NT04474	Kookaburra	Nanotrap	0.425		CP0029	A03	JL	WVU Keyser	Sample	2021-10-27	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	D3	EP0029	A03	JL	PotomacState-01	WS	10/18/21 11:30	Grab	10/18/21 11:30	10/18/21 11:30			Pass	JL	10/27/21	6.98	Mineral	Processing	Processing
H01-0037																																																																																											MoundsvilleWWTP-01	-	11/13/2021 08:15 AM	Composite	11/13/2021 08:00 AM	11/12/2021 08:00 AM			Pass	AJ	11/19/2021	6.88	Marshall		
A02-0176	12128	OneStep RT-ddPCR	Human RNase P	7.7616399526596	8246.74244970083	None				2021-10-20	Manual	DQ	58477038	QX One	CDC nCov-2 Triplex	H8	AP0014	H04	JL	SARS-CoV-2 N1	0	0	2152.00729370118	0	SARS-CoV-2 N2	0	0	2493.55224609376	0																																					0.005	Sample		2021-10-18	10	NT04474	Halcyon	Nanotrap	0.425		CP0026	B04	JL	WVU Morgantown	Sample	2021-10-18	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	H8	EP0026	A08	JL	CollegePark-02	EL	10/18/21 10:08	Composite	10/18/21 9:00	10/16/21 9:00			Pass	JL	10/18/21		Monongalia	Processing	Processing
C01-0002	15419	OneStep RT-ddPCR	Human RNase P	1.526050568	1621.428728					9/24/21	Manual	DQ	XXXXXX	QX 200	CDC nCov-2 Triplex	H2	AP0009	A02	JL	SARS-CoV-2 N1	15.26496172	0	878.4640503	16219.02183	SARS-CoV-2 N2	18.31914425	0	968.4371185	19464.09076																																				CDC N1/N2/RP Triplex	0.005	Sample	Water was very dirty with solid matter; water was colored black essentially when unsettled.	9/17/21	10	NT04155	Halcyon	Ceres Nanotrap	0.425		CP0013	B02	JL	WWTP	Sample	9/17/21	0.4	2105033	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	F6	EP0012	A06	JL	WheelingWWTP-01	MVC	9/14/21 7:00	Composite	9/14/21 7:00	9/13/21 7:00			Pass	JL	9/17/21	6.07	Ohio	Processing	Complete
H01-0027	11870	OneStep RT-ddPCR	Human RNase P	4	4250	None				2021-11-17	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	J7	AP0019	A06	JL	SARS-CoV-2 N1	8	0	1166.6	8500	SARS-CoV-2 N2	13.8	0	1342.8	14662.5																																					0.005	Sample		2021-11-03	10	NT04474	Halcyon	Nanotrap	0.425		CP0032	C03	JL	WWTP	Sample	2021-11-03	0.4	21108255	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	J7	EP0032	B03	JL	MoundsvilleWWTP-01	DRC	10/28/21 8:15	Composite	11/28/21 8:00	10/27/21 8:00			Pass	JL	10/29/21	7.04	Marshall	Processing	Processing
A0044	13954	OneStep RT-ddPCR	Human RNase P		34414.8					2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				55059.6	SARS-CoV-2 N2				79172.4																																				CDC N1/N2/RP Triplex	0.005	Sample		12/21/20	100			PEG Precipitation	3.4				AT	WWTP	Sample	12/21/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT	StarCityWWTP-01	GG	12/20/20 0:00	Composite	12/20/20 11:59	12/20/20 12:00			Pass	TD	12/21/20		Monongalia	Processing	Complete
G01-0009	12649	OneStep RT-ddPCR	Human RNase P	0	0	None				2021-11-04	Manual	DQ	58477038	QX 200	CDC nCov-2 Triplex	J3	AP0016	E03	JL	SARS-CoV-2 N1	0	0	1040.98007202148	0	SARS-CoV-2 N2	0	0	1205.93536376953	0																																					0.005			2021-11-03	10	NT04474	Halcyon	Nanotrap	0.425		CP0032	B05	JL			2021-11-03	0.4	21108255	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	J3	EP0032	A11	JL															
A0240	14185	OneStep RT-ddPCR	Human RNase P		11952					3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				41796	SARS-CoV-2 N2				29880																																				CDC N1/N2/RP Triplex	0.005	Sample		2/22/21	100			PEG Precipitation	6				AT	WWTP	Sample	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT	StarCityWWTP-01	GG	2/11/21 8:00	Composite	2/11/21 11:55	2/11/21 12:00	9.206 		Pass	TD	2/18/21		Monongalia	Processing	Complete
C01-0011	14723	OneStep RT-ddPCR	Human RNase P	15.66432714	16643.34759					10/5/21	Manual	DQ	58477037	QX One	CDC nCov-2 Triplex	E2	AP0011	B03	JL	SARS-CoV-2 N1	69.00279045	1355.395355	0	73315.46485	SARS-CoV-2 N2	87.85762787	1548.404388	0	93348.72961																																				CDC N1/N2/RP Triplex	0.005	Sample		10/1/21	10	NT04474	Halcyon	Ceres Nanotrap	0.425	E2	CP0019	C06	JL	WWTP	Sample	10/1/21	0.4	2108052	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	E2	EP0019	C02	JL	WheelingWWTP-01	MVC	9/29/21 7:00	Composite	9/29/21 7:00	9/29/21 7:00			Pass	JL	10/1/21		Ohio	Processing	Complete
H01-0092																																																																															WWTP												MoundsvilleWWTP-01												Marshall		
G02-0008		OneStep RT-ddPCR	Human RNase P			None				2021-11-01	CHECK	ABS	58477038	QX 200	CDC nCov-2 Triplex	D4	AP0015	D04	JL	SARS-CoV-2 N1					SARS-CoV-2 N2																																									0.005	Sample		2021-10-27	10	NT04474	Kookaburra	Nanotrap	0.425		CP0029	A04	JL	WVU Keyser	Sample	2021-10-27	0.4	2108255	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05	D4	EP0029	A04	JL	PotomacState-01	R	10/20/21 12:30	Composite	10/20/21 12:30	10/19/21 9:30			Pass	JL	10/27/21	7.01	Mineral	Processing	Processing
C01-0038																																																																															WWTP												WheelingWWTP-01	-	11/15/2021 07:00 AM	Composite	11/15/2021 07:00 AM	11/14/2021 07:00 AM			Pass	AJ	11/23/2021	5.94	Ohio		
A1087	11452	OneStep RT-ddPCR		113.28		BRSV		269040		7/9/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	0			0	SARS-CoV-2 N2	2.05			4868.75																																				N1/N2/BRSV Triplex	0.005	Sample		7/9/21	10			Ceres Nanotrap	0.95	pH - 6.57				WWTP	Sample	7/9/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	7/7/21 23:55	Composite	7/7/21 23:55	7/7/21 0:00	7.730 		Pass	JL	7/9/21	6.57	Monongalia	Processing	Complete
A1079	12116	OneStep RT-ddPCR		79.76		BRSV		189430		7/9/21	Manual	DQ			BRSV Triplex					SARS-CoV-2 N1	1.94			4607.5	SARS-CoV-2 N2	0			0																																				N1/N2/BRSV Triplex	0.005	Sample		7/9/21	10			Ceres Nanotrap	0.95	pH - 6.41				WWTP	Sample	7/9/21	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	StarCityWWTP-01	EL	6/27/21 23:55	Composite	6/27/21 23:55	6/27/21 0:00	7.515 		Pass	JL	7/9/21	6.41	Monongalia	Processing	Complete
