Sample ID	Assay Accepted Droplets	Assay Amplification Method	Assay Control, Process (Type)	Assay Control, Process Result (CN/L)	Assay Control, Process Spike-In (CN/L)	Assay Date	Assay Droplet Quantification Method	Assay Experiment Type	Assay Lot ID	Assay Machine	Assay Name	Assay Plate Comment	Assay Plate ID	Assay Plate Location	Assay Run by	Assay Target 1	Assay Target 1 Concentration (CN/Rxn)	Assay Target 1 PCR NC Result (CN/Rxn)	Assay Target 1 PCR PC Result (CN/Rxn)	Assay Target 1 Result (CN/L)	Assay Target 2	Assay Target 2 Concentration (CN/Rxn)	Assay Target 2 PCR NC Result (CN/Rxn)	Assay Target 2 PCR PC Result (CN/Rxn)	Assay Target 2 Result (CN/L)	Assay Target 3	Assay Target 3 Concentration (CN/Rxn)	Assay Target 3 PCR NC Result (CN/Rxn)	Assay Target 3 PCR PC Result (CN/Rxn)	Assay Target 3 Result (CN/L)	Assay Target 4	Assay Target 4 Concentration (CN/Rxn)	Assay Target 4 PCR NC Result (CN/Rxn)	Assay Target 4 PCR PC Result (CN/Rxn)	Assay Target 4 Result (CN/L)	Assay Target 5	Assay Target 5 Concentration (CN/Rxn)	Assay Target 5 PCR NC Result (CN/Rxn)	Assay Target 5 PCR PC Result (CN/Rxn)	Assay Target 5 Result (CN/L)	Assay Target 6	Assay Target 6 Concentration (CN/Rxn)	Assay Target 6 PCR NC Result (CN/Rxn)	Assay Target 6 PCR PC Result (CN/Rxn)	Assay Target 6 Result (CN/L)	Assay Target 7	Assay Target 7 Concentration (CN/Rxn)	Assay Target 7 PCR NC Result (CN/Rxn)	Assay Target 7 PCR PC Result (CN/Rxn)	Assay Target 7 Result (CN/L)	Assay Target 8	Assay Target 8 Concentration (CN/Rxn)	Assay Target 8 PCR NC Result (CN/Rxn)	Assay Target 8 PCR PC Result (CN/Rxn)	Assay Target 8 Result (CN/L)	Assay Target 9	Assay Target 9 Concentration (CN/Rxn)	Assay Target 9 PCR NC Result (CN/Rxn)	Assay Target 9 PCR PC Result (CN/Rxn)	Assay Target 9 Result (CN/L)	Assay Type	Assay Volume (mL)	Comments	Concentration Date	Concentration Input Volume (mL)	Concentration Lot ID	Concentration Machine	Concentration Method	Concentration Output Volume (mL)	Concentration Plate Comment	Concentration Plate ID	Concentration Plate Location	Concentration Run by	Control, Internal (Type)	Control, Internal Result (CN/L)	Created by	Date Added to Database	Date Created	Department	Description	Extraction Date	Extraction Input Volume (mL)	Extraction Lot ID	Extraction Machine	Extraction Method	Extraction Output Volume (mL)	Extraction Plate Comment	Extraction Plate ID	Extraction Plate Location	Extraction Run by	Location	QC Check, Assay	QC Check, Assay Negative Control	QC Check, Assay Positive Control	QC Check, Sample	Sample Collection By	Sample Collection Date/Time	Sample Collection Method	Sample Composite End	Sample Composite Start	Sample Received By	Sample Received Date	Sample pH (Lab)	Site	Status
A0240	14185	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				41796	SARS-CoV-2 N2				29880																																				CDC N1/N2/RP Triplex	0.005		2/22/21 0:00	100				6				AT	Human RNase P	11952	Timothy Driscoll	2/24/21 10:42	2/24/21 10:42	Monongalia County	A0240	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	2/11/21 8:00	Composite	2/11/21 11:55	2/11/21 12:00	TD	2/18/21		StarCityWWTP-01	Available
A0241	14527	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				43740	SARS-CoV-2 N2				72930																																				CDC N1/N2/RP Triplex	0.005		2/22/21 0:00	100				5				AT	Human RNase P	4860	Timothy Driscoll	2/24/21 10:43	2/24/21 10:43	Monongalia County	A0241	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	2/14/21 8:00	Composite	2/14/21 11:55	2/14/21 12:00	TD	2/18/21		StarCityWWTP-01	Available
A1063		OneStep RT-ddPCR	BRSV	8051.25												SARS-CoV-2 N1				4037.5	SARS-CoV-2 N2				4037.5																																				N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 						Josh Lambert		07/08/2021 11:42 AM		A1063	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/03/2021 11:55 PM	Composite	06/03/2021 11:55 PM	06/03/2021 12:00 AM	JL	06/04/2021		StarCityWWTP-01	Available
A0224	13877	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				44784	SARS-CoV-2 N2				44784																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Human RNase P	4080	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0224	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/20/21 0:00	Composite	1/20/21 23:59	1/20/21 0:00	TD	1/22/21		StarCityWWTP-01	Available
A02-0020	17034	OneStep RT-ddPCR	None			08/20/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex	H7	AP000000	A07	JL	SARS-CoV-2 N1		0	99.91557173	10275.68221	SARS-CoV-2 N2		0	99.91831254	11743.9822																																				Multiplex	0.005		8/20/21	10	NT04155	Kookaburra	Nanotrap	0.425	6.88	CP000000	B01	JL						WVU Morgantown	Secondary	8/20/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05	H7	EP000000	A07	JL		Pass	Pass	Pass	Pass	EL	08/20/2021 09:17 AM	Composite	08/20/2021 09:30 AM	08/20/2021 09:18 AM	Jl	08/20/2021	6.88	Evansdale-01	
A02-0029	7980	OneStep RT-ddPCR	None			2021-08-26	CHECK	DQ	58477036	QX One	CDC nCov-2 Triplex	I5	AP0004	E01	JL	SARS-CoV-2 N1	159600	5920	239240	169575000	SARS-CoV-2 N2	159600	5920	235960	169575000																																				Multiplex	0.005		2021-08-23	10	NT04155	Kookaburra	Nanotrap	0.425		CP000002	A05	JL						WVU Morgantown	Tertiary	2021-08-23	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000002	A05	JL		Fail: Droplet Counts Below Threshold	Fail: Droplet Counts Below Threshold	Pass	Pass	EL	08/23/2021 09:46 AM	Grab			JL	08/23/2021	7.54	HonorsSummit-01 (MUB)	
A1082		OneStep RT-ddPCR	BRSV	273457.5												SARS-CoV-2 N1				4797.5	SARS-CoV-2 N2				4797.5																																				N1/N2/BRSV Triplex	0.005		07/09/2021	10				0.95	pH - 6.47						Josh Lambert		07/09/2021 12:15 PM		A1082	07/09/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/30/2021 11:55 PM	Composite	06/30/2021 11:55 PM	06/30/2021 12:00 AM	JL	07/09/2021	6.47	StarCityWWTP-01	Available
A0247	15880	OneStep RT-ddPCR				3/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				1542888	SARS-CoV-2 N2				961152																																				CDC N1/N2/RP Triplex	0.005		11/13/20 16:30	100				4				MS	Human RNase P	71160	Timothy Driscoll	11/13/20 22:10	11/13/20 22:10	Monongalia County	A0247	11/17/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	11/9/20 0:00	Composite	11/9/20 23:59	11/9/20 0:00	TD	11/13/20		StarCityWWTP-01	Available
A1061		OneStep RT-ddPCR	BRSV	373872.5												SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 6.92						Josh Lambert		07/08/2021 11:39 AM		A1061	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/01/2021 11:55 PM	Composite	06/01/2021 11:55 PM	06/01/2021 12:00 AM	JL	06/04/2021	6.92	StarCityWWTP-01	Available
A1016	13088	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				10800	SARS-CoV-2 N2				16170																																				CDC N1/N2/RP Triplex	0.005		4/9/21 12:00	100				5				MVS	Human RNase P	5400	Josh Lambert	4/9/21 12:49	4/9/21 12:49	Monongalia County	A1016	4/12/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	GG	3/28/21 11:55	Composite	3/28/21 11:55	3/28/21 12:00	Josh Lambert	4/9/21		StarCityWWTP-01	Available
A0442	11921	OneStep RT-ddPCR				3/15/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				29610	SARS-CoV-2 N2				0																																				CDC N1/N2/RP Triplex	0.005			100				5					Human RNase P	53310	Mathilda Santee	3/3/21 11:47	3/3/21 11:47	Monongalia County	A0442		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	EL	2/25/21 12:00	Composite	2/25/21 12:00	2/25/21 12:00				StarCityWWTP-01	Available
A0436	12429	OneStep RT-ddPCR				3/15/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				5670	SARS-CoV-2 N2				0																																				CDC N1/N2/RP Triplex	0.005			100				5					Human RNase P	45450	Mathilda Santee	3/8/21 10:54	3/8/21 10:54	Monongalia County	A0436		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	EL	3/4/21 12:00	Composite	3/4/21 12:00	3/4/21 12:00				StarCityWWTP-01	Available
A02-0083																																																																															WVU Morgantown																Pass	EL	09/06/2021 08:38 AM	Composite	09/06/2021 08:38 AM	09/04/2021 09:00 AM	JL	09/07/2021	6.88	HonorsSummit-01 (MUB)	
A1006	10779	OneStep RT-ddPCR				3/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				CDC N1/N2/RP Triplex	0.005		3/19/21 3:00	100				4.2				TD	Human RNase P	55036.8	Josh Lambert	3/19/21 15:30	3/19/21 15:30	Monongalia County	A1006	3/21/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				TD		Pass	Not Assessed	Not Assessed	Pass	GG	3/15/21 11:59	Composite	3/15/21 11:59	3/15/21 12:01	JL	3/19/21		StarCityWWTP-01	Available
A0233	17982	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				37704	SARS-CoV-2 N2				34560																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				4				MS	Human RNase P	0	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0233	2/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	2/2/21 0:00	Composite	2/2/21 23:59	2/2/21 0:00	TD	2/4/21		StarCityWWTP-01	Available
A1046	12846	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				CDC N1/N2/RP Triplex	0.005		5/14/21 12:00	100				4				MVS	Human RNase P	30792	Mathilda Santee	5/14/21 10:54	5/14/21 10:54	Monongalia County	A1046	5/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	5/14/21 10:53	Composite	5/11/21 11:59	5/11/21 12:00	MVS	5/14/21		StarCityWWTP-01	Available
A1031	10841	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				78180	SARS-CoV-2 N2				104250																																				CDC N1/N2/RP Triplex	0.005		4/23/21 11:00	100				5				MVS	Human RNase P	32550	Mathilda Santee	4/23/21 10:55	4/23/21 10:55	Monongalia County	A1031	4/26/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	4/23/21 10:55	Composite	4/18/21 11:59	4/18/21 12:00	MVS	4/23/21		StarCityWWTP-01	Available
A0239	10568	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				86880	SARS-CoV-2 N2				106950																																				CDC N1/N2/RP Triplex	0.005		2/22/21 0:00	100				5				AT	Human RNase P	13350	Timothy Driscoll	2/24/21 10:41	2/24/21 10:41	Monongalia County	A0239	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	2/10/21 8:00	Composite	2/10/21 11:55	2/10/21 12:00	TD	2/11/21		StarCityWWTP-01	Available
A1032	10235	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				19320	SARS-CoV-2 N2				9660																																				CDC N1/N2/RP Triplex	0.005		4/23/21 11:00	100				7				MVS	Human RNase P	0	Mathilda Santee	4/23/21 10:56	4/23/21 10:56	Monongalia County	A1032	4/26/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MVS		Pass	Not Assessed	Not Assessed	Pass	EL	4/23/21 10:56	Composite	4/19/21 11:59	4/19/21 12:00	MVS	4/23/21		StarCityWWTP-01	Available
A1100		OneStep RT-ddPCR	BRSV	30376.25												SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				N1/N2/BRSV Triplex	0.005			10				0.95											A1100		0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	7/29/21 23:55	Composite	7/29/21 23:55	7/29/21 0:00	JL			StarCityWWTP-01	
A02-0063																																																																															WVU Morgantown																Pass	EL	08/30/2021 10:19 AM	Grab			JL	08/30/2021	8.58	NorthHighSt-02 (MUB)	
A0206	15486	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				51072	SARS-CoV-2 N2				62016																																				CDC N1/N2/RP Triplex	0.005		1/4/21 0:00	100				4				MS	Human RNase P	7296	Timothy Driscoll	2/20/21 16:13	2/20/21 16:13	Monongalia County	A0206	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/31/20 0:00	Composite	12/31/20 23:59	12/31/20 0:00	TD	1/7/21		StarCityWWTP-01	Available
A1060		OneStep RT-ddPCR	BRSV	325968.75												SARS-CoV-2 N1				8550	SARS-CoV-2 N2				4275																																				N1/N2/BRSV Triplex	0.005			10				0.95	pH - 6.93						Josh Lambert		07/08/2021 11:37 AM		A1060	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	05/31/2021 11:55 PM	Composite	05/31/2021 11:55 PM	05/31/2021 12:00 AM	JL	06/04/2021	6.93	StarCityWWTP-01	Available
A0434	13546	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				37512	SARS-CoV-2 N2				31284																																				CDC N1/N2/RP Triplex	0.005			100				6					Human RNase P	37512	Mathilda Santee	3/8/21 10:55	3/8/21 10:55	Monongalia County	A0434		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	EL	3/2/21 12:00	Composite	3/2/21 12:00	3/2/21 12:00				StarCityWWTP-01	Available
A1101		OneStep RT-ddPCR	BRSV	572493.75												SARS-CoV-2 N1				27336.25	SARS-CoV-2 N2				31896.25																																				N1/N2/BRSV Triplex	0.005			10				0.95							Josh Lambert		07/09/2021 12:23 PM		A1101		0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	7/26/21 23:55	Composite	7/26/21 23:55	7/26/21 0:00	JL			StarCityWWTP-01	Available
A1058		OneStep RT-ddPCR	BRSV	297112.5												SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				N1/N2/BRSV Triplex	0.005			10				0.95	pH - 7.03						Josh Lambert		07/08/2021 11:34 AM		A1058	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	05/27/2021 11:55 PM	Composite	05/27/2021 11:55 AM	05/27/2021 12:00 AM	JL	05/28/2021	7.03	StarCityWWTP-01	Available
A02-0077																																																																															WVU Morgantown																Pass	EL	09/03/2021 10:11 AM	Grab			JL	09/03/2021	8.36	HonorsSummit-01 (MUB)	
A1045	14509	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				9720	SARS-CoV-2 N2				9720																																				CDC N1/N2/RP Triplex	0.005	Reconc vol estimated	5/7/21 14:30	100				5					Human RNase P	38940	Josh Lambert	5/7/21 15:26	5/7/21 15:26	Monongalia County	A1045		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	GG	5/6/21 23:55	Composite	5/6/21 23:55	5/6/21 0:00	Josh Lambert	5/7/21		StarCityWWTP-01	Available
A01-0016																																																																															Monongalia County																Pass	GG	08/26/2021 11:55 PM	Composite	08/26/2021 11:55 PM	08/26/2021 12:00 AM	JL	08/27/2021	6.97	StarCityWWTP-01	
A1093		OneStep RT-ddPCR	BRSV	188646.25												SARS-CoV-2 N1				0	SARS-CoV-2 N2				4488.75																																				N1/N2/BRSV Triplex	0.005			10				0.95							Josh Lambert		07/09/2021 12:23 PM		A1093		0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	7/15/21 23:55	Composite	7/15/21 23:55	7/15/21 0:00	JL			StarCityWWTP-01	Available
A0217	15849	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				129270	SARS-CoV-2 N2				142680																																				CDC N1/N2/RP Triplex	0.005		2/5/21 13:00	100				5				MS	Human RNase P	4440	Timothy Driscoll	2/12/21 16:27	2/12/21 16:27	Monongalia County	A0217	2/17/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GS	1/11/21 0:00	Composite	1/11/21 23:59	1/11/21 0:00	TD	1/15/21		StarCityWWTP-01	Available
A02-0065																																																																															WVU Morgantown																Pass	EL	09/01/2021 09:08 AM	Composite	09/01/2021 09:08 AM	08/30/2021 09:08 AM	JL	09/01/2021	6.80	Evansdale-01	
A0027	10133	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				15891.6	SARS-CoV-2 N2				15891.6																																				CDC N1/N2/RP Triplex	0.005		12/4/20 17:00	100				3.8				MS	Human RNase P	42362.4	Timothy Driscoll	12/7/20 15:15	12/7/20 15:15	Monongalia County	A0027	12/7/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	11/25/20 0:00	Composite	11/25/20 23:59	11/25/20 0:00	TD	11/30/20		StarCityWWTP-01	Available
A1064		OneStep RT-ddPCR	BRSV	301316.25												SARS-CoV-2 N1				0	SARS-CoV-2 N2				3705																																				N1/N2/BRSV Triplex	0.005		07/07/2021	10				0.95	pH - 						Josh Lambert		07/08/2021 11:44 AM		A1064	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	06/06/2021 11:55 PM	Composite	06/06/2021 11:55 PM	06/06/2021 12:00 AM	JL	06/11/2021		StarCityWWTP-01	Available
A0238	11383	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				14880	SARS-CoV-2 N2				39696																																				CDC N1/N2/RP Triplex	0.005		2/22/21 0:00	100				4				AT	Human RNase P	4968	Timothy Driscoll	2/24/21 10:41	2/24/21 10:41	Monongalia County	A0238	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	2/9/21 8:00	Composite	2/9/21 11:55	2/9/21 12:00	TD	2/11/21		StarCityWWTP-01	Available
A1030	11104	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				7632	SARS-CoV-2 N2				0																																				CDC N1/N2/RP Triplex	0.005		4/16/21 11:00	100				6				JL	Human RNase P	68688	Aiyana-Mei Tom	4/16/21 11:21	4/16/21 11:21	Monongalia County	A1030	4/19/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				JL		Pass	Not Assessed	Not Assessed	Pass	EL	4/15/21 12:00	Composite	4/16/21 12:00	4/15/21 12:00	MVS	4/16/21		StarCityWWTP-01	Available
A1085		OneStep RT-ddPCR	BRSV	0												SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				N1/N2/BRSV Triplex	0.005		07/09/2021	10				0.95	pH - 6.48						Josh Lambert		07/09/2021 12:19 PM		A1085	07/09/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	07/05/2021 11:55 PM	Composite	07/05/2021 11:55 PM	07/05/2021 12:00 AM	JL	07/09/2021	6.48	StarCityWWTP-01	Available
A01-0027																																																																															Monongalia County																Pass	DW	09/04/2021 11:55 PM	Composite	09/04/2021 11:55 PM	09/04/2021 12:00 AM	JL	09/07/2021	6.38	StarCityWWTP-01	
A1051		OneStep RT-ddPCR	BRSV	201922.5												SARS-CoV-2 N1				0	SARS-CoV-2 N2				7196.25																																				N1/N2/BRSV Triplex	0.005			10				0.95	pH: 6.74						Josh Lambert		07/08/2021 11:16 AM		A1051	07/07/2021	0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	05/18/2021 11:55 PM	Composite	05/18/2021 11:55 PM	05/18/2021 12:00 AM	JL	05/21/2021	6.74	StarCityWWTP-01	Available
A02-0006	17196	OneStep RT-ddPCR	None			08/16/2021	Manual	DQ	58477036	QX 200	CDC nCov-2 Triplex		AP000000	A05	JL	SARS-CoV-2 N1		0	99.94874319	24727.27346	SARS-CoV-2 N2		0	99.95073014	18906.8917	None																																			Multiplex	0.005	NaN	8/16/21	10	NT04155	Halcyon	Nanotrap	0.425		CP000000	A05	JL			Eric Lundstrum		8/13/21 9:23	WVU Morgantown	Tertiary	8/16/21	0.4	2102028	Halcyon	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A05	JL	NaN	Pass	Pass	Pass	Pass	Eric Lundstrom	08/13/2021 09:22 AM	Composite	08/13/2021 09:22 AM	08/11/2021 09:45 AM	Josh Lambert	08/13/2021	7.34	OaklandE-02	
A1091		OneStep RT-ddPCR	BRSV	247142.5												SARS-CoV-2 N1				4322.5	SARS-CoV-2 N2				4322.5																																				N1/N2/BRSV Triplex	0.005			10				0.95							Josh Lambert		07/09/2021 12:23 PM		A1091		0.4			Thermo MagMax Microbiome Ultra	0.05				JL	Monongalia County					EL	7/13/21 23:55	Composite	7/13/21 23:55	7/13/21 0:00	JL			StarCityWWTP-01	Available
A0243	15333	OneStep RT-ddPCR				3/11/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				13800	SARS-CoV-2 N2				4590																																				CDC N1/N2/RP Triplex	0.005		2/22/21 0:00	100				5				AT	Human RNase P	0	Timothy Driscoll	2/24/21 10:44	2/24/21 10:44	Monongalia County	A0243	2/24/21	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	GG	2/16/21 8:00	Composite	2/16/21 11:55	2/16/21 12:00	TD	2/18/21		StarCityWWTP-01	Available
A02-0007																																																																												Eric Lundstrum		8/12/21 9:14	WVU Morgantown	Secondary															Pass	EL	08/12/2021 09:14 AM	Composite	08/12/2021 09:00 AM	08/11/2021 09:00 AM	JL	08/12/2021		Evansdale-01	
A0035	16284	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				112130.4	SARS-CoV-2 N2				75832.8																																				CDC N1/N2/RP Triplex	0.005		12/13/20 17:00	100				3.8				MS	Human RNase P	49430.4	Timothy Driscoll	12/14/20 14:57	12/14/20 14:57	Monongalia County	A0035	12/14/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/7/20 0:00	Composite	12/7/20 11:59	12/7/20 12:00	TD	12/11/20		StarCityWWTP-01	Available
A0039	13018	OneStep RT-ddPCR				2/22/21	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				108552	SARS-CoV-2 N2				99864																																				CDC N1/N2/RP Triplex	0.005		12/14/20 17:00	100				4				AT	Human RNase P	52080	Timothy Driscoll	12/21/20 16:22	12/21/20 16:22	Monongalia County	A0039	12/15/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				AT		Pass	Not Assessed	Not Assessed	Pass	DW	12/13/20 0:00	Composite	12/13/20 11:59	12/13/20 12:00	TD	12/14/20		StarCityWWTP-01	Available
A1043	12654	OneStep RT-ddPCR					Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				0	SARS-CoV-2 N2				0																																				CDC N1/N2/RP Triplex	0.005	Reconc vol estimated	5/7/21 23:55	100				5					Human RNase P	39060	Josh Lambert	5/7/21 15:23	5/7/21 15:23	Monongalia County	A1043		0.2			Qiagen QIAamp Viral RNA Mini	0.06						Pass	Not Assessed	Not Assessed	Pass	GG	5/4/21 23:55	Composite	5/4/21 23:55	5/4/21 0:00	Josh Lambert	5/7/21		StarCityWWTP-01	Available
A02-0013	11125	OneStep RT-ddPCR	BRSV			08/13/2021	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	A04	JL	SARS-CoV-2 N1		0	99.9626002	13486.7835	SARS-CoV-2 N2		0	99.96326296	11238.48063																																				Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	A04	JL			Eric Lundstrum		8/11/21 9:48	WVU Morgantown	Tertiary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	A04	JL		Pass	Pass	Pass	Pass	EL	08/11/2021 09:48 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	7.87	CollegePark-02	
A06-0017	17517	OneStep RT-ddPCR	BRSV			08/13/2021	Manual	DQ	XXXXXX	QX 200	N1/N2/BRSV Triplex		AP000000	A08	JL	SARS-CoV-2 N1		0	99.9626002	0	SARS-CoV-2 N2		0	99.96326296	1427.22571																																				Multiplex	0.005	NaN	8/13/21	10	NT04155	Kookaburra	Nanotrap	0.425		CP000000	B02	JL			Eric Lundstrum		8/11/21 9:35	WVU Morgantown	Tertiary	8/13/21	0.4	2102028	Kookaburra	Ultra 2.0 Microbiome (Thermo)	0.05		EP000000	B02	JL	NaN	Pass	Pass	Pass	Pass	EL	08/11/2021 09:35 AM	Composite	08/11/2021 09:00 AM	08/10/2021 09:00 AM	JL	08/11/2021	7.55	NorthHighSt-02 (MUB)	
A0037	13832	OneStep RT-ddPCR				12/14/20	Manual	DQ			CDC nCov-2 Triplex					SARS-CoV-2 N1				85800	SARS-CoV-2 N2				85800																																				CDC N1/N2/RP Triplex	0.005		12/13/20 17:00	100				4				MS	Human RNase P	98064	Timothy Driscoll	12/14/20 14:57	12/14/20 14:57	Monongalia County	A0037	12/14/20	0.2			Qiagen QIAamp Viral RNA Mini	0.06				MS		Pass	Not Assessed	Not Assessed	Pass	GG	12/9/20 0:00	Composite	12/9/20 11:59	12/9/20 12:00	TD	12/11/20		StarCityWWTP-01	Available
