concentration_batch_id	concentration_batch_record_version	concentration_date	concentration_input_ml	concentration_machine	concentration_method	concentration_method_lot_id	concentration_output_ml	concentration_run_by	concentration_batch_comment
CP493	1.0.0	10/03/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	
CP494	1.0.0	10/02/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	
CP495	1.0.0	10/04/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	GC	
CP496	1.0.0	10/06/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP497	1.0.0	10/06/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP498	1.0.0	10/11/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP499	1.0.0	10/17/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	
CP5	1.0.0	08/27/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	
CP50	1.0.0	12/16/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP500	1.0.0	10/18/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP501	1.0.0	10/24/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	
CP502	1.0.0	10/31/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	
CP503	1.0.0	10/31/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	
CP504	1.0.0	11/07/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	
CP505	1.0.0	11/07/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	
CP506	1.0.0	11/14/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	
CP507	1.0.0	11/14/2023	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	
CP508	1.0.0	11/16/2023	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04475	0.475	AJ	
CP51	1.0.0	12/17/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP52	1.0.0	12/21/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP53	1.0.0	12/22/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04774	0.475	AJ	
CP54	1.0.0	01/03/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	JL	
CP55	1.0.0	01/04/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP56	1.0.0	01/06/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP57	1.0.0	01/10/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP58	1.0.0	01/11/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	aj	
CP59	1.0.0	01/13/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP60	1.0.0	01/19/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP61	1.0.0	01/19/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP62	1.0.0	01/20/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP63	1.0.0	01/21/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP64	1.0.0	01/24/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP65	1.0.0	01/25/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP66	1.0.0	01/26/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP67	1.0.0	01/28/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP68	1.0.0	01/31/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP69	1.0.0	02/01/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP7	1.0.0	09/02/2021	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	
CP70	1.0.0	02/02/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP71	1.0.0	02/04/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	LW	
CP72	1.0.0	02/07/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP73	1.0.0	02/09/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP74	1.0.0	02/10/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04474	0.475	AJ	
CP76	1.0.0	02/14/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP77	1.0.0	02/14/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP78	1.0.0	02/15/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP79	1.0.0	02/16/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP8	1.0.0	09/03/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	
CP80	1.0.0	02/18/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP81	1.0.0	02/18/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP82	1.0.0	02/21/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP83	1.0.0	02/23/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP84	1.0.0	02/23/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP85	1.0.0	02/25/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	JL	
CP86	1.0.0	02/28/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP87	1.0.0	03/02/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	aj	
CP88	1.0.0	03/02/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP89	1.0.0	03/04/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP9	1.0.0	09/08/2021	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04155	0.425	JL	
CP90	1.0.0	03/04/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP91	1.0.0	03/09/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP92	1.0.0	03/09/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP93	1.0.0	03/10/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP94	1.0.0	03/11/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP95	1.0.0	03/11/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP96	1.0.0	03/15/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP97	1.0.0	03/16/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP98	1.0.0	03/16/2022	10	Bender	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
CP99	1.0.0	03/21/2022	10	Wall-E	Ceres Nanotrap Magnetic Microbiome A Particles	NT04473	0.475	AJ	
PE1	1.0.0	11/09/2020	100	Sorvall	PEG Precipitation		4	MS	
PE10	1.0.0	11/13/2020	100	Sorvall	PEG Precipitation		4	MS	
PE100	1.0.0	04/09/2021	100	Sorvall	PEG Precipitation		5	MVS	
PE101	1.0.0	04/09/2021	100	Sorvall	PEG Precipitation		5	MVS	
PE102	1.0.0	04/09/2021	100	Sorvall	PEG Precipitation		5	MVS	
PE103	1.0.0	04/09/2021	100	Sorvall	PEG Precipitation		5	MVS	
PE104	1.0.0	04/16/2021	100	Sorvall	PEG Precipitation		5	JL	
PE105	1.0.0	04/16/2021	100	Sorvall	PEG Precipitation		6	JL	
PE106	1.0.0	04/16/2021	100	Sorvall	PEG Precipitation		4	JL	
PE107	1.0.0	04/16/2021	100	Sorvall	PEG Precipitation		4	JL	
PE108	1.0.0	04/16/2021	100	Sorvall	PEG Precipitation		8	JL	
PE109	1.0.0	04/23/2021	100	Sorvall	PEG Precipitation		7	MVS	
PE11	1.0.0	11/16/2020	100	Sorvall	PEG Precipitation		4.2	MS	
PE110	1.0.0	04/23/2021	100	Sorvall	PEG Precipitation		5	MVS	
PE111	1.0.0	04/23/2021	100	Sorvall	PEG Precipitation		4	MVS	
PE112	1.0.0	04/23/2021	100	Sorvall	PEG Precipitation		7	MVS	
PE113	1.0.0	04/23/2021	100	Sorvall	PEG Precipitation		7	MVS	
PE114	1.0.0	04/30/2021	100	Sorvall	PEG Precipitation		2	KED	
PE115	1.0.0	04/30/2021	100	Sorvall	PEG Precipitation		3	KED	
PE116	1.0.0	04/30/2021	100	Sorvall	PEG Precipitation		3	KED	
PE117	1.0.0	04/30/2021	100	Sorvall	PEG Precipitation		5	KED	
PE118	1.0.0	04/30/2021	100	Sorvall	PEG Precipitation		7.5	KED	
PE119	1.0.0	05/07/2021	100	Sorvall	PEG Precipitation		5		
PE12	1.0.0	11/16/2020	100	Sorvall	PEG Precipitation		4	MS	
PE120	1.0.0	05/07/2021	100	Sorvall	PEG Precipitation		5		
PE121	1.0.0	05/07/2021	100	Sorvall	PEG Precipitation		5		
PE122	1.0.0	05/07/2021	100	Sorvall	PEG Precipitation		5		
PE123	1.0.0	05/07/2021	100	Sorvall	PEG Precipitation		5		
PE124	1.0.0	05/14/2021	100	Sorvall	PEG Precipitation		7	MVS	
PE125	1.0.0	05/14/2021	100	Sorvall	PEG Precipitation		4	MVS	
PE126	1.0.0	05/18/2021	100	Sorvall	PEG Precipitation		4.5	KD	
PE127	1.0.0	02/13/2021	100	Sorvall	PEG Precipitation		6	TD	
PE128	1.0.0	02/13/2021	100	Sorvall	PEG Precipitation		4	TD	
PE129	1.0.0	02/13/2021	100	Sorvall	PEG Precipitation		8	TD	
PE13	1.0.0	11/19/2020	100	Sorvall	PEG Precipitation		4	MS	
PE130	1.0.0	02/13/2021	100	Sorvall	PEG Precipitation		6	TD	
PE131	1.0.0	02/13/2021	100	Sorvall	PEG Precipitation		5	TD	
PE132	1.0.0	02/13/2021	100	Sorvall	PEG Precipitation		6	TD	
PE133	1.0.0	02/13/2021	100	Sorvall	PEG Precipitation		4	TD	
PE134	1.0.0	02/13/2021	100	Sorvall	PEG Precipitation		3	TD	
PE135	1.0.0	02/13/2021	100	Sorvall	PEG Precipitation		4	TD	
PE136	1.0.0	02/13/2021	100	Sorvall	PEG Precipitation		3	TD	
PE137	1.0.0	02/13/2021	100	Sorvall	PEG Precipitation		5	TD	
PE14	1.0.0	11/19/2020	100	Sorvall	PEG Precipitation		3.6	MS	
PE15	1.0.0	12/04/2020	100	Sorvall	PEG Precipitation		3.6	MS	
PE16	1.0.0	12/04/2020	100	Sorvall	PEG Precipitation		3.8	MS	
PE17	1.0.0	12/04/2020	100	Sorvall	PEG Precipitation		3	MS	
PE18	1.0.0	12/04/2020	100	Sorvall	PEG Precipitation		4.8	MS	
PE19	1.0.0	12/04/2020	100	Sorvall	PEG Precipitation		4.2	MS	
PE2	1.0.0	11/09/2020	100	Sorvall	PEG Precipitation		4.2	MS	
PE20	1.0.0	12/04/2020	100	Sorvall	PEG Precipitation		3.8	MS	
PE21	1.0.0	12/04/2020	100	Sorvall	PEG Precipitation		4.4	MS	
PE22	1.0.0	12/04/2020	100	Sorvall	PEG Precipitation		4.8	MS	
PE23	1.0.0	12/04/2020	100	Sorvall	PEG Precipitation		3.4	MS	
PE24	1.0.0	12/04/2020	100	Sorvall	PEG Precipitation		3.8	MS	
PE25	1.0.0	12/07/2020	100	Sorvall	PEG Precipitation		4	MS	
PE26	1.0.0	12/07/2020	100	Sorvall	PEG Precipitation		3.2	MS	
PE27	1.0.0	12/13/2020	100	Sorvall	PEG Precipitation		5	MS	
PE28	1.0.0	12/13/2020	100	Sorvall	PEG Precipitation		3.8	MS	
PE29	1.0.0	12/13/2020	100	Sorvall	PEG Precipitation		4	MS	
PE3	1.0.0	11/09/2020	100	Sorvall	PEG Precipitation		3.4	MS	
PE30	1.0.0	12/13/2020	100	Sorvall	PEG Precipitation		3.6	AT	
PE31	1.0.0	12/14/2020	100	Sorvall	PEG Precipitation		3.8	AT	
PE32	1.0.0	12/14/2020	100	Sorvall	PEG Precipitation		4.2	AT	
PE33	1.0.0	12/14/2020	100	Sorvall	PEG Precipitation		4	AT	
PE34	1.0.0	12/14/2020	100	Sorvall	PEG Precipitation		4	AT	
PE35	1.0.0	12/14/2020	100	Sorvall	PEG Precipitation		4.2	AT	
PE36	1.0.0	12/21/2020	100	Sorvall	PEG Precipitation		3.4	AT	
PE37	1.0.0	01/03/2021	100	Sorvall	PEG Precipitation		7	MS	
PE38	1.0.0	01/03/2021	100	Sorvall	PEG Precipitation		15	MS	
PE39	1.0.0	01/03/2021	100	Sorvall	PEG Precipitation		6	MS	
PE4	1.0.0	11/09/2020	100	Sorvall	PEG Precipitation		3.4	MS	
PE40	1.0.0	01/03/2021	100	Sorvall	PEG Precipitation		5.5	MS	
PE41	1.0.0	01/03/2021	100	Sorvall	PEG Precipitation		8	MS	
PE42	1.0.0	01/03/2021	100	Sorvall	PEG Precipitation		7	MS	
PE43	1.0.0	01/04/2021	100	Sorvall	PEG Precipitation		6	MS	
PE44	1.0.0	01/04/2021	100	Sorvall	PEG Precipitation		4	MS	
PE45	1.0.0	01/04/2021	100	Sorvall	PEG Precipitation		4	MS	
PE46	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		4	MS	
PE47	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		4	MS	
PE48	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		4	MS	
PE49	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		3	MS	
PE5	1.0.0	11/09/2020	100	Sorvall	PEG Precipitation		5	MS	
PE50	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		5	MS	
PE51	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		4	MS	
PE52	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		3	MS	
PE53	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		5	MS	
PE54	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		4	MS	
PE55	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		4	MS	
PE56	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		4.5	MS	
PE57	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		4	MS	
PE58	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		5	MS	
PE59	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		5.5	MS	
PE6	1.0.0	11/13/2020	100	Sorvall	PEG Precipitation		4	MS	
PE60	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		4	MS	
PE61	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		3	MS	
PE62	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		5	MS	
PE63	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		4	MS	
PE64	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		5.5	MS	
PE65	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		4	MS	
PE66	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		4	MS	
PE67	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		4	MS	
PE68	1.0.0	02/05/2021	100	Sorvall	PEG Precipitation		5	MS	
PE69	1.0.0	02/19/2021	100	Sorvall	PEG Precipitation		4	AT	
PE7	1.0.0	11/13/2020	100	Sorvall	PEG Precipitation		3.8	MS	
PE70	1.0.0	02/22/2021	100	Sorvall	PEG Precipitation		4	AT	
PE71	1.0.0	02/22/2021	100	Sorvall	PEG Precipitation		5	AT	
PE72	1.0.0	02/22/2021	100	Sorvall	PEG Precipitation		5	AT	
PE73	1.0.0	02/22/2021	100	Sorvall	PEG Precipitation		4	AT	
PE74	1.0.0	02/22/2021	100	Sorvall	PEG Precipitation		6	AT	
PE75	1.0.0	02/22/2021	100	Sorvall	PEG Precipitation		5	AT	
PE76	1.0.0	02/22/2021	100	Sorvall	PEG Precipitation		5	AT	
PE77	1.0.0	02/22/2021	100	Sorvall	PEG Precipitation		4	AT	
PE78	1.0.0	02/22/2021	100	Sorvall	PEG Precipitation		4	AT	
PE79	1.0.0	03/12/2021	100	Sorvall	PEG Precipitation		5	AHT	
PE8	1.0.0	11/13/2020	100	Sorvall	PEG Precipitation		3.4	MS	
PE80	1.0.0	03/12/2021	100	Sorvall	PEG Precipitation		5	AHT	
PE81	1.0.0	03/12/2021	100	Sorvall	PEG Precipitation		5	AHT	
PE82	1.0.0	03/12/2021	100	Sorvall	PEG Precipitation		5	AHT	
PE83	1.0.0	03/12/2021	100	Sorvall	PEG Precipitation		5	AHT	
PE84	1.0.0	03/19/2021	100	Sorvall	PEG Precipitation		4.2	TD	
PE85	1.0.0	03/19/2021	100	Sorvall	PEG Precipitation		3.4	TD	
PE86	1.0.0	03/19/2021	100	Sorvall	PEG Precipitation		3.6	TD	
PE87	1.0.0	03/19/2021	100	Sorvall	PEG Precipitation		3.6	TD	
PE88	1.0.0	03/19/2021	100	Sorvall	PEG Precipitation		3.5	TD	
PE89	1.0.0	03/26/2021	100	Sorvall	PEG Precipitation		4	MVS	
PE9	1.0.0	11/13/2020	100	Sorvall	PEG Precipitation		4	MS	
PE90	1.0.0	03/26/2021	100	Sorvall	PEG Precipitation		9	MVS	
PE91	1.0.0	03/26/2021	100	Sorvall	PEG Precipitation		8	MVS	
PE92	1.0.0	03/26/2021	100	Sorvall	PEG Precipitation		4	MVS	
PE93	1.0.0	03/26/2021	100	Sorvall	PEG Precipitation		7	MVS	
PE94	1.0.0	04/09/2021	100	Sorvall	PEG Precipitation		5	MVS	
PE95	1.0.0	04/09/2021	100	Sorvall	PEG Precipitation		5	MVS	
PE96	1.0.0	04/09/2021	100	Sorvall	PEG Precipitation		6	MVS	
PE97	1.0.0	04/09/2021	100	Sorvall	PEG Precipitation		5	MVS	
PE98	1.0.0	04/09/2021	100	Sorvall	PEG Precipitation		5	MVS	
PE99	1.0.0	04/09/2021	100	Sorvall	PEG Precipitation		5	MVS	
